county_fips,pivot_odds,log_pivot_odds
01001,1.8323982e-06,-13.209885
01003,2.9339856e-07,-15.041734
01005,0.00026816037,-8.223926
01007,4.274312e-06,-12.362887
01009,1.078967e-06,-13.739507
01011,0.000110656954,-9.109076
01013,0.00011469786,-9.073209
01015,2.343547e-06,-12.963845
01017,5.4627228e-05,-9.814979
01019,2.8876708e-05,-10.452476
01021,5.7999455e-07,-14.360248
01023,9.9846e-05,-9.211882
01025,8.292162e-05,-9.3976145
01027,2.3700134e-06,-12.952615
01029,1.8642844e-05,-10.890048
01031,2.83658e-06,-12.772911
01033,2.0367394e-05,-10.801576
01035,0.00037719298,-7.882754
01037,2.879482e-05,-10.455315
01039,1.2031329e-06,-13.630582
01041,1.5619493e-05,-11.066991
01043,3.6155004e-06,-12.53028
01045,2.495671e-06,-12.900953
01047,8.233336e-05,-9.404735
01049,4.2923375e-06,-12.358679
01051,1.2864742e-06,-13.563605
01053,7.4170975e-06,-11.811723
01055,4.2542097e-06,-12.367601
01057,1.5313217e-05,-11.086794
01059,2.916228e-05,-10.442635
01061,4.4255083e-07,-14.630711
01063,1.642802e-05,-11.016522
01065,0.0004961533,-7.6086254
01067,5.9004437e-06,-12.040483
01069,3.6707812e-07,-14.817691
01071,2.8158762e-05,-10.477652
01073,1.2425417e-05,-11.295767
01075,2.115449e-05,-10.763659
01077,5.737696e-06,-12.068453
01079,4.2443062e-05,-10.067348
01081,4.542795e-06,-12.301969
01083,3.1659301e-06,-12.663064
01085,3.458029e-05,-10.272226
01087,1.9530425e-13,-29.263706
01089,6.7157857e-06,-11.91105
01091,0.0004028195,-7.817022
01093,1.83374e-05,-10.906568
01095,1.6920559e-06,-13.289566
01097,5.8360465e-06,-12.051457
01099,0.00011388542,-9.0803175
01101,3.4623252e-05,-10.270985
01103,7.141171e-07,-14.152219
01105,9.0465895e-05,-9.310537
01107,7.901149e-05,-9.445917
01109,4.0501294e-05,-10.114177
01111,9.171689e-06,-11.599389
01113,0.00043009353,-7.7515078
01115,9.0360436e-07,-13.916874
