county_fips,pivot_odds,log_pivot_odds
39051,5.6647953897481784e-05,-9.778654689457072
39053,8.325097587658092e-05,-9.393650706931213
39055,2.815674088196829e-05,-10.477723769097887
39057,1.2795998372894246e-05,-11.266378063034384
39059,4.746454214910045e-05,-9.955527606750975
39061,4.324260316934669e-06,-12.351269457193077
39065,7.302137964870781e-05,-9.524758287794379
39067,0.00017139340343419462,-8.671549038922809
39069,7.378724694717675e-05,-9.514324646884265
39071,6.620417116209865e-05,-9.622767088515348
39073,0.00011079357500420883,-9.107841772659055
39075,8.041665569180623e-05,-9.428289242888246
39077,6.132389535196126e-05,-9.699340980995228
39079,8.51745717227459e-05,-9.370807622633631
39081,4.305427137296647e-05,-10.053049113128164
39083,3.1269712053472176e-05,-10.372860594932439
39085,1.2470940419007093e-05,-11.292109386600456
39087,5.2005849283887073e-05,-9.86415435948035
39089,1.0931878932751715e-05,-11.423827364534262
39091,3.709781594807282e-05,-10.201952459407934
39093,1.0959159226331394e-05,-11.421334992312959
39095,8.302655260195024e-06,-11.698935183455422
39097,5.059312388766557e-05,-9.89169488245306
39099,1.4945048860681709e-05,-11.11113049286726
39101,5.4155745601747185e-05,-9.82364648485062
39103,1.4750247828487772e-05,-11.124250673388222
39105,0.00011078928946517408,-9.107880453800266
39111,0.0001973177131731063,-8.530695371098764
39113,7.593519057991216e-06,-11.788215430002293
39115,0.00018783184350468218,-8.5799634448361
39117,4.2780451622093096e-05,-10.059429297514567
39119,2.606319321785122e-05,-10.554986460472124
39121,0.00021674703748431057,-8.436779610289484
39123,5.983003575238399e-05,-9.724002752996341
39127,7.993479812284932e-05,-9.434299279066973
39129,4.091861046617851e-05,-10.103925574784427
39131,0.00011794635065598413,-9.045280692343502
39133,1.919493115565274e-05,-10.860864316095036
39135,4.133520269533619e-05,-10.093796055549966
39139,2.2376218112185597e-05,-10.70751185451713
39141,4.071232979185879e-05,-10.108979568104864
39143,7.975439802976325e-05,-9.43655867011127
39145,4.2510644561843947e-05,-10.06575605311516
39147,3.7821781006641686e-05,-10.182625404181142
39151,7.1559197749593295e-06,-11.847570603258323
